thread_count,run,pages_visited,pages_discovered,links_found
1,1,3606,3606,43326
1,2,3606,3606,43326
1,3,3112,3112,35224
2,1,3606,3606,43326
2,2,3606,3606,43326
2,3,3991,3991,54849
4,1,7576,7576,148331
4,2,7567,7567,147718
4,3,7572,7572,148139
8,1,10309,10309,225424
8,2,10343,10343,226638
8,3,10309,10309,225424
16,1,11385,11385,252246
16,2,11385,11385,252246
16,3,11385,11385,252246
